Fecha,Pedidos,"Ventas brutas",Devoluciones,Cupones,"Ventas netas",Impuestos,Envío,"Ventas totales"
"2025-12-19 00:00:00",0,0,0,0,0,0,0,0
"2025-12-18 00:00:00",5,184540,0,0,184540,0,16000,200540
"2025-12-17 00:00:00",2,95450,0,3547,91903,0,4000,95903
"2025-12-16 00:00:00",4,220560,0,9873,210687,0,12000,222687
"2025-12-15 00:00:00",5,430330,0,19121,411209,0,0,411209
"2025-12-14 00:00:00",0,0,0,0,0,0,0,0
"2025-12-13 00:00:00",0,0,0,0,0,0,0,0
"2025-12-12 00:00:00",0,0,0,0,0,0,0,0
"2025-12-11 00:00:00",5,615890,0,0,615890,0,4000,619890
"2025-12-10 00:00:00",2,117700,0,0,117700,0,4000,121700
"2025-12-09 00:00:00",2,62680,0,0,62680,0,0,62680
"2025-12-08 00:00:00",1,4480,0,0,4480,0,4000,8480
"2025-12-07 00:00:00",1,61300,0,0,61300,0,0,61300
"2025-12-06 00:00:00",0,0,0,0,0,0,0,0
"2025-12-05 00:00:00",1,42240,0,0,42240,0,0,42240
"2025-12-04 00:00:00",3,624260,0,0,624260,0,0,624260
"2025-12-03 00:00:00",2,101020,0,3456,97564,0,0,97564
"2025-12-02 00:00:00",2,711870,0,0,711870,0,5400,717270
"2025-12-01 00:00:00",1,58930,0,0,58930,0,0,58930
"2025-11-30 00:00:00",1,27600,0,0,27600,0,0,27600
"2025-11-29 00:00:00",0,0,0,0,0,0,0,0
"2025-11-28 00:00:00",0,0,0,0,0,0,0,0
"2025-11-27 00:00:00",0,0,0,0,0,0,0,0
"2025-11-26 00:00:00",2,765000,0,0,765000,0,0,765000
"2025-11-25 00:00:00",1,16880,0,0,16880,0,4000,20880
"2025-11-24 00:00:00",0,0,0,0,0,0,0,0
"2025-11-23 00:00:00",0,0,0,0,0,0,0,0
"2025-11-22 00:00:00",1,82500,0,0,82500,0,0,82500
"2025-11-21 00:00:00",2,214900,0,0,214900,0,4000,218900
"2025-11-20 00:00:00",0,0,0,0,0,0,0,0
"2025-11-19 00:00:00",2,44120,0,0,44120,0,4000,48120
"2025-11-18 00:00:00",4,717980,0,0,717980,0,6000,723980
"2025-11-17 00:00:00",2,515480,0,0,515480,0,0,515480
"2025-11-16 00:00:00",1,60020,0,0,60020,0,0,60020
"2025-11-15 00:00:00",0,0,0,0,0,0,0,0
"2025-11-14 00:00:00",2,41030,0,0,41030,0,4000,45030
"2025-11-13 00:00:00",2,153210,0,0,153210,0,0,153210
"2025-11-12 00:00:00",1,104570,0,0,104570,0,0,104570
"2025-11-11 00:00:00",5,585000,0,0,585000,0,0,585000
"2025-11-10 00:00:00",3,180090,0,0,180090,0,4000,184090
"2025-11-09 00:00:00",2,123520,0,0,123520,0,4000,127520
"2025-11-08 00:00:00",1,101600,0,0,101600,0,0,101600
"2025-11-07 00:00:00",0,0,0,0,0,0,0,0
"2025-11-06 00:00:00",5,433890,0,0,433890,0,4000,437890
"2025-11-05 00:00:00",1,15670,0,0,15670,0,4000,19670
"2025-11-04 00:00:00",1,17570,0,0,17570,0,4000,21570
"2025-11-03 00:00:00",3,603600,0,0,603600,0,8000,611600
"2025-11-02 00:00:00",0,0,0,0,0,0,0,0
"2025-11-01 00:00:00",1,67670,0,0,67670,0,0,67670
"2025-10-31 00:00:00",0,0,0,0,0,0,0,0
"2025-10-30 00:00:00",2,135450,0,0,135450,0,4000,139450
"2025-10-29 00:00:00",0,0,0,0,0,0,0,0
"2025-10-28 00:00:00",1,17450,0,0,17450,0,0,17450
"2025-10-27 00:00:00",3,34900,0,0,34900,0,0,34900
